Curso,Paais 0 SC,Paais 20 SC,Paais 40 SC,Paais 60 SC,Paais 0 CC,Paais 20 CC,Paais 40 CC,Paais 60 CC
Administracao (N),35,35,31,29,20,16,25,17
Administracao Publica (N),16,41,21,17,25,46,33,20
Arquitetura e Urbanismo (N),51,49,47,45,46,,42,40
Artes Cenicas (I),43,,39,37,37,,37,31
Artes Visuais (I),46,51,42,40,40,,35,32
Ciencia da Computacao (N),57,56,53,51,48,47,44,42
Ciencias Biologicas – Licenciatura (N),39,38,35,33,36,42,33,29
Ciencias Biologicas (I),50,48,46,44,45,,41,38
Ciencias do Esporte (I),33,37,29,28,21,37,16,23
Ciencias Economicas (I),51,50,47,44,42,55,38,36
Ciencias Economicas (N),48,51,44,42,42,,42,35
Ciencias Sociais (I),43,44,39,36,36,37,32,29
Ciencias Sociais (N),39,47,36,32,40,39,41,33
Comunicacao Social-Midialogia (I),49,,45,43,46,48,41,39
Danca (I),35,,31,29,33,30,28,26
Educacao Fisica (I),36,40,32,30,36,,34,30
Educacao Fisica (N),35,34,31,29,37,36,33,30
Enfermagem (I),43,41,39,36,41,,38,35
Eng. Fis/Fis/Fis Med. e Biomed./Mat./Mat.Aplic. Comp.(I),46,45,42,40,22,23,23,19
Engenharia Agricola (I),32,39,28,26,21,29,25,21
Engenharia Ambiental (N),31,37,29,25,22,28,25,22
Engenharia Civil (I),46,49,42,40,35,34,30,28
Engenharia de Alimentos (I),35,38,31,29,23,,27,19
Engenharia de Alimentos (N),36,,33,29,27,21,24,24
Engenharia de Computacao (I),57,55,53,51,46,,44,40
Engenharia de Controle e Automacao (N),46,,42,40,38,,34,31
Engenharia de Manufatura (I),21,22,29,35,20,,36,18
Engenharia de Producao (I),49,54,48,,16,,24,23
Engenharia de Telecomunicacoes (I),23,,34,24,31,,37,29
Engenharia de Transportes (N),21,29,33,26,29,,,29
Engenharia Eletrica (I),49,49,45,44,23,,25,19
Engenharia Eletrica (N),45,45,42,38,38,,45,30
Engenharia Mecanica (I),46,53,42,40,32,36,31,26
Engenharia Quimica (I),50,55,48,44,38,49,32,30
Engenharia Quimica (N),45,44,40,38,40,45,34,32
Estatistica (I),38,60,36,31,19,,42,23
Estudos Literarios (I),39,,37,35,38,,39,30
Farmacia (I),48,53,44,42,44,,41,37
Filosofia (I),40,,38,33,28,34,25,22
Fisica – Licenciatura (N),20,23,26,23,22,33,34,27
Fonoaudiologia (I),41,46,37,35,36,35,38,29
Geografia (I),41,,37,34,36,,35,29
Geografia (N),38,39,33,31,24,,18,26
Geologia (I),27,35,27,27,20,,43,26
Historia (I),47,45,44,41,44,,40,37
Letras – Licenciatura (I),45,52,41,39,39,,39,31
Letras – Licenciatura (N),43,43,38,36,44,,42,34
Licenciatura Integrada Quimica/Fisica (N),17,,31,24,25,,,20
Linguistica (I),36,,36,32,35,22,23,28
Matematica – Licenciatura (N),28,32,29,22,19,,33,21
Medicina (I),63,61,59,57,59,57,55,53
Nutricao (I),44,42,40,38,34,44,29,27
Odontologia (I),45,44,41,39,36,,32,32
Pedagogia – Licenciatura (I),33,31,30,27,23,33,25,18
Pedagogia – Licenciatura (N),36,40,32,30,38,,40,29
Quimica (I),43,43,39,36,22,26,27,19
Quimica Tecnologica (N),34,,29,27,21,,45,19
Sistemas de Informacao (I),46,43,41,39,38,39,33,31
Tecnologia em Analise e Des. de Sist. (N),43,46,39,37,43,,38,35
Tecnologia em Saneamento Ambiental (N),22,,22,19,28,26,22,18
TABELA EM PDF,,,,,,,,
